34     	49     	53     	27     	42     	11     	23     	23     	0      	0      	0      
49     	78     	78     	48     	71     	22     	30     	30     	0      	0      	0      
53     	78     	93     	43     	69     	20     	46     	46     	0      	0      	0      
27     	48     	43     	33     	46     	16     	13     	13     	0      	0      	0      
42     	71     	69     	46     	69     	24     	26     	26     	0      	0      	0      
11     	22     	20     	16     	24     	11     	6      	6      	0      	0      	0      
23     	30     	46     	13     	26     	6      	30     	30     	0      	0      	0      
23     	30     	46     	13     	26     	6      	30     	30     	0      	0      	0      
0      	0      	0      	0      	0      	0      	0      	0      	9      	12     	8      
0      	0      	0      	0      	0      	0      	0      	0      	12     	17     	12     
0      	0      	0      	0      	0      	0      	0      	0      	8      	12     	9      
