763770 	1183671	1290976	699018 	1082157	333764 	576581 	576581 	0      	0      	0      
1183671	1837496	1998425	1087477	1681202	519719 	888760 	888760 	0      	0      	0      
1290976	1998425	2184335	1178351	1826227	562438 	978797 	978797 	0      	0      	0      
699018 	1087477	1178351	645388 	995941 	308778 	521108 	521108 	0      	0      	0      
1082157	1681202	1826227	995941 	1538792	476222 	810699 	810699 	0      	0      	0      
333764 	519719 	562438 	308778 	476222 	147857 	248261 	248261 	0      	0      	0      
576581 	888760 	978797 	521108 	810699 	248261 	443546 	443546 	0      	0      	0      
576581 	888760 	978797 	521108 	810699 	248261 	443546 	443546 	0      	0      	0      
0      	0      	0      	0      	0      	0      	0      	0      	4060   	5741   	4059   
0      	0      	0      	0      	0      	0      	0      	0      	5741   	8119   	5741   
0      	0      	0      	0      	0      	0      	0      	0      	4059   	5741   	4060   
