136    	205    	224    	118    	182    	53     	99     	99     	0      	0      	0      
205    	324    	336    	197    	297    	93     	138    	138    	0      	0      	0      
224    	336    	385    	190    	303    	89     	185    	185    	0      	0      	0      
118    	197    	190    	127    	186    	62     	69     	69     	0      	0      	0      
182    	297    	303    	186    	279    	93     	121    	121    	0      	0      	0      
53     	93     	89     	62     	93     	35     	32     	32     	0      	0      	0      
99     	138    	185    	69     	121    	32     	106    	106    	0      	0      	0      
99     	138    	185    	69     	121    	32     	106    	106    	0      	0      	0      
0      	0      	0      	0      	0      	0      	0      	0      	21     	29     	20     
0      	0      	0      	0      	0      	0      	0      	0      	29     	41     	29     
0      	0      	0      	0      	0      	0      	0      	0      	20     	29     	21     
