565    	865    	945    	505    	782    	235    	422    	422    	0      	0      	0      
865    	1359   	1438   	818    	1247   	390    	612    	612    	0      	0      	0      
945    	1438   	1618   	829    	1303   	392    	755    	755    	0      	0      	0      
505    	818    	829    	510    	762    	248    	328    	328    	0      	0      	0      
782    	1247   	1303   	762    	1158   	372    	545    	545    	0      	0      	0      
235    	390    	392    	248    	372    	128    	153    	153    	0      	0      	0      
422    	612    	755    	328    	545    	153    	397    	397    	0      	0      	0      
422    	612    	755    	328    	545    	153    	397    	397    	0      	0      	0      
0      	0      	0      	0      	0      	0      	0      	0      	50     	70     	49     
0      	0      	0      	0      	0      	0      	0      	0      	70     	99     	70     
0      	0      	0      	0      	0      	0      	0      	0      	49     	70     	50     
