9      	12     	13     	6      	9      	2      	5      	5      	0      	0      	0      
12     	19     	18     	12     	17     	5      	6      	6      	0      	0      	0      
13     	18     	22     	9      	16     	4      	12     	12     	0      	0      	0      
6      	12     	9      	9      	12     	4      	2      	2      	0      	0      	0      
9      	17     	16     	12     	17     	7      	5      	5      	0      	0      	0      
2      	5      	4      	4      	7      	4      	1      	1      	0      	0      	0      
5      	6      	12     	2      	5      	1      	9      	9      	0      	0      	0      
5      	6      	12     	2      	5      	1      	9      	9      	0      	0      	0      
0      	0      	0      	0      	0      	0      	0      	0      	4      	5      	3      
0      	0      	0      	0      	0      	0      	0      	0      	5      	7      	5      
0      	0      	0      	0      	0      	0      	0      	0      	3      	5      	4      
