180156 	279117 	304497 	164779 	255122 	78642  	136042 	136042 	0      	0      	0      
279117 	433652 	470902 	256929 	396896 	122823 	208929 	208929 	0      	0      	0      
304497 	470902 	515577 	277310 	430139 	132299 	231610 	231610 	0      	0      	0      
164779 	256929 	277310 	152924 	235535 	73243  	121899 	121899 	0      	0      	0      
255122 	396896 	430139 	235535 	363510 	112712 	190280 	190280 	0      	0      	0      
78642  	122823 	132299 	73243  	112712 	35145  	57981  	57981  	0      	0      	0      
136042 	208929 	231610 	121899 	190280 	57981  	105968 	105968 	0      	0      	0      
136042 	208929 	231610 	121899 	190280 	57981  	105968 	105968 	0      	0      	0      
0      	0      	0      	0      	0      	0      	0      	0      	1682   	2378   	1681   
0      	0      	0      	0      	0      	0      	0      	0      	2378   	3363   	2378   
0      	0      	0      	0      	0      	0      	0      	0      	1681   	2378   	1682   
